Opening port
Debug on
Port open
Compiled: Apr  2 2015, 13:03:29,
#,Parameter,value,comment
#,sampRate,250,Samples per second desired
#,sampFreq,250,Samples per second used
#,sampIntUSec,4000,Sample interval in microseconds
#,MinCumCuts,6,Minimum number of cumulative cuts per snippet for displacement
#,M,2
#,N,8

Not logging to SD card
Logging to serial
$,Sample,I,Q,IsCut,CurrCuts,RunCuts,Disp,Conf
$,437,18,17,-1,-3,-3,,
$,438,17,12,0,-3,-3,,
$,439,16,16,0,-3,-3,,
$,440,17,21,1,-2,-2,,
$,441,18,16,-1,-3,-3,,
$,442,17,12,0,-3,-3,,
$,443,15,16,0,-3,-3,,
$,444,16,21,1,-2,-2,,
$,445,18,16,-1,-3,-3,,
$,446,16,14,0,-3,-3,,
$,447,15,17,0,-3,-3,,
$,448,16,19,1,-2,-2,,
$,449,19,16,-1,-3,-3,,
$,450,17,16,0,-3,-3,,
$,451,13,17,0,-3,-3,,
$,452,16,17,0,-3,-3,,
$,453,19,16,0,-3,-3,,
$,454,16,17,0,-3,-3,,
$,455,13,17,0,-3,-3,,
$,456,16,16,0,-3,-3,,
$,457,19,16,0,-3,-3,,
$,458,16,17,0,-3,-3,,
$,459,12,16,0,-3,-3,,
$,460,15,16,0,-3,-3,,
$,461,21,16,0,-3,-3,,
$,462,16,17,0,-3,-3,,
$,463,12,16,0,-3,-3,,
$,464,16,16,0,-3,-3,,
$,465,21,16,0,-3,-3,,
$,466,16,18,0,-3,-3,,
$,467,11,17,0,-3,-3,,
$,468,16,16,0,-3,-3,,
$,469,21,17,0,-3,-3,,
$,470,16,18,0,-3,-3,,
$,471,13,17,0,-3,-3,,
$,472,17,15,0,-3,-3,,
$,473,19,16,0,-3,-3,,
$,474,16,19,1,-2,-2,,
$,475,15,17,-1,-3,-3,,
$,476,17,14,0,-3,-3,,
$,477,17,16,0,-3,-3,,
$,478,16,20,1,-2,-2,,
$,479,16,17,-1,-3,-3,,
$,480,16,13,0,-3,-3,,
$,481,16,16,0,-3,-3,,
$,482,16,19,1,-2,-2,,
$,483,16,16,-1,-3,-3,,
$,484,16,12,0,-3,-3,,
$,485,16,15,0,-3,-3,,
$,486,16,20,1,-2,-2,,
$,487,16,16,-1,-3,-3,,
$,488,16,12,0,-3,-3,,
$,489,15,16,0,-3,-3,,
$,490,15,20,1,-2,-2,,
$,491,17,16,-1,-3,-3,,
$,492,16,12,0,-3,-3,,
$,493,14,16,0,-3,-3,,
$,494,15,20,1,-2,-2,,
$,495,17,16,-1,-3,-3,,
$,496,15,12,0,-3,-3,,
$,497,14,16,0,-3,-3,,
$,498,15,18,0,-3,-3,,
$,499,18,15,0,-3,-3,,
$,500,16,15,0,0,-3,,
$,501,13,16,0,0,-3,,
$,502,15,16,0,0,-3,,
$,503,18,15,0,0,-3,,
$,504,15,16,0,0,-3,,
$,505,11,16,0,0,-3,,
$,506,14,16,0,0,-3,,
$,507,20,16,0,0,-3,,
$,508,15,16,0,0,-3,,
$,509,11,16,0,0,-3,,
$,510,15,16,0,0,-3,,
$,511,20,16,0,0,-3,,
$,512,15,17,0,0,-3,,
$,513,11,16,0,0,-3,,
$,514,15,15,0,0,-3,,
$,515,20,16,0,0,-3,,
$,516,15,17,0,0,-3,,
$,517,11,16,0,0,-3,,
$,518,15,15,0,0,-3,,
$,519,20,16,0,0,-3,,
$,520,15,18,0,0,-3,,
$,521,11,16,0,0,-3,,
$,522,15,14,0,0,-3,,
$,523,18,16,0,0,-3,,
$,524,14,18,0,0,-3,,
$,525,14,16,0,0,-3,,
$,526,16,12,0,0,-3,,
$,527,16,15,0,0,-3,,
$,528,15,18,0,0,-3,,
$,529,15,15,0,0,-3,,
$,530,15,13,0,0,-3,,
$,531,15,15,0,0,-3,,
$,532,15,19,1,1,-2,,
$,533,15,16,-1,0,-3,,
$,534,15,11,0,0,-3,,
$,535,14,15,0,0,-3,,
$,536,14,19,1,1,-2,,
$,537,16,15,-1,0,-3,,
$,538,15,11,0,0,-3,,
$,539,14,15,0,0,-3,,
$,540,15,19,1,1,-2,,
$,541,16,15,-1,0,-3,,
$,542,15,10,0,0,-3,,
$,543,14,14,0,0,-3,,
$,544,15,20,1,1,-2,,
$,545,17,15,-1,0,-3,,
$,546,15,11,0,0,-3,,
$,547,13,15,0,0,-3,,
$,548,15,18,0,0,-3,,
$,549,17,14,0,0,-3,,
$,550,15,13,0,0,-3,,
$,551,13,15,0,0,-3,,
$,552,15,16,0,0,-3,,
$,553,17,14,0,0,-3,,
$,554,15,15,0,0,-3,,
$,555,10,15,0,0,-3,,
$,556,13,15,0,0,-3,,
$,557,17,15,0,0,-3,,
$,558,13,15,0,0,-3,,
$,559,10,15,0,0,-3,,
$,560,13,14,0,0,-3,,
$,561,18,14,0,0,-3,,
$,562,14,15,0,0,-3,,
$,563,9,14,0,0,-3,,
$,564,13,13,0,0,-3,,
$,565,18,14,0,0,-3,,
$,566,13,15,0,0,-3,,
$,567,8,14,0,0,-3,,
$,568,13,12,0,0,-3,,
$,569,18,13,0,0,-3,,
$,570,13,15,0,0,-3,,
$,571,9,13,0,0,-3,,
$,572,13,12,0,0,-3,,
$,573,17,13,0,0,-3,,
$,574,13,16,0,0,-3,,
$,575,11,14,0,0,-3,,
$,576,14,11,0,0,-3,,
$,577,14,13,0,0,-3,,
$,578,12,16,0,0,-3,,
$,579,13,13,0,0,-3,,
$,580,13,11,0,0,-3,,
$,581,14,13,0,0,-3,,
$,582,13,20,1,1,-2,,
$,583,14,15,-1,0,-3,,
$,584,14,10,0,0,-3,,
$,585,13,15,0,0,-3,,
$,586,13,18,0,0,-3,,
$,587,14,14,0,0,-3,,
$,588,13,10,0,0,-3,,
$,589,13,14,0,0,-3,,
$,590,13,18,0,0,-3,,
$,591,15,14,0,0,-3,,
$,592,14,9,0,0,-3,,
$,593,12,13,0,0,-3,,
$,594,13,19,1,1,-2,,
$,595,15,14,-1,0,-3,,
$,596,13,9,0,0,-3,,
$,597,12,14,0,0,-3,,
$,598,13,18,1,1,-2,,
$,599,15,13,-1,0,-3,,
$,600,13,11,0,0,-3,,
$,601,11,14,0,0,-3,,
$,602,13,15,0,0,-3,,
$,603,15,13,0,0,-3,,
$,604,13,14,0,0,-3,,
$,605,11,14,0,0,-3,,
$,606,13,14,0,0,-3,,
$,607,17,14,0,0,-3,,
$,608,14,14,0,0,-3,,
$,609,10,14,0,0,-3,,
$,610,13,13,0,0,-3,,
$,611,17,13,0,0,-3,,
$,612,13,15,0,0,-3,,
$,613,9,14,0,0,-3,,
$,614,13,13,0,0,-3,,
$,615,18,14,0,0,-3,,
$,616,13,15,0,0,-3,,
$,617,9,14,0,0,-3,,
$,618,13,13,0,0,-3,,
$,619,18,14,0,0,-3,,
$,620,13,15,0,0,-3,,
$,621,9,14,0,0,-3,,
$,622,13,13,0,0,-3,,
$,623,17,14,0,0,-3,,
$,624,13,16,0,0,-3,,
$,625,11,14,0,0,-3,,
$,626,14,13,0,0,-3,,
$,627,15,14,0,0,-3,,
$,628,13,16,0,0,-3,,
$,629,14,14,0,0,-3,,
$,630,14,12,0,0,-3,,
$,631,14,14,0,0,-3,,
$,632,14,18,1,1,-2,,
$,633,14,15,-1,0,-3,,
$,634,14,11,0,0,-3,,
$,635,14,14,0,0,-3,,
$,636,14,18,1,1,-2,,
$,637,15,14,-1,0,-3,,
$,638,14,10,0,0,-3,,
$,639,13,14,0,0,-3,,
$,640,14,18,1,1,-2,,
$,641,15,14,-1,0,-3,,
$,642,14,9,0,0,-3,,
$,643,12,13,0,0,-3,,
$,644,13,18,1,1,-2,,
$,645,14,13,-1,0,-3,,
$,646,13,9,0,0,-3,,
$,647,12,13,0,0,-3,,
$,648,13,18,1,1,-2,,
$,649,15,13,-1,0,-3,,
$,650,13,11,0,0,-3,,
$,651,12,14,0,0,-3,,
$,652,13,16,0,0,-3,,
$,653,16,13,0,0,-3,,
$,654,14,13,0,0,-3,,
$,655,10,14,0,0,-3,,
$,656,13,14,0,0,-3,,
$,657,17,13,0,0,-3,,
$,658,13,14,0,0,-3,,
$,659,10,14,0,0,-3,,
$,660,13,13,0,0,-3,,
$,661,18,13,0,0,-3,,
$,662,14,15,0,0,-3,,
$,663,9,14,0,0,-3,,
$,664,13,13,0,0,-3,,
$,665,18,14,0,0,-3,,
$,666,13,15,0,0,-3,,
$,667,9,14,0,0,-3,,
$,668,13,13,0,0,-3,,
$,669,18,14,0,0,-3,,
$,670,13,15,0,0,-3,,
$,671,9,14,0,0,-3,,
$,672,13,13,0,0,-3,,
$,673,18,14,0,0,-3,,
$,674,13,15,0,0,-3,,
$,675,10,14,0,0,-3,,
$,676,14,12,0,0,-3,,
$,677,15,13,0,0,-3,,
$,678,12,15,0,0,-3,,
